Neighbourhood,AREA_CODE,Total Area,Total Population,Pop - Males,Pop - Females,Pop 0 - 4 years,Pop 5 - 9 years,Pop 10 - 14 years,Pop 15 -19 years,Pop 20 - 24 years,Pop  25 - 29 years,Pop 30 - 34 years,Pop 35 - 39 years,Pop 40 - 44 years,Pop 45 - 49 years,Pop 50 - 54 years,Pop 55 - 59 years,Pop 60 - 64 years,Pop 65 - 69 years,Pop 70 - 74 years,Pop 75 - 79 years,Pop 80 - 84 years,Pop 85 years and over,Seniors 55 and over,Seniors 65 and over,Child 0-14,Youth 15-24,Home Language Category,   Language - Chinese,   Language - Italian,   Language - Korean,   Language - Persian (Farsi),   Language - Portuguese,   Language - Russian,   Language - Spanish,   Language - Tagalog,   Language - Tamil,   Language - Urdu,Linguistic Diversity,Debt Risk Score,Home Prices,Population Density
West Humber-Clairville,1,30.09,34100,0.501319648,0.498533724,0.054692082,0.057184751,0.063196481,0.074780059,0.08372434,0.080791789,0.069208211,0.063782991,0.07170088,0.074633431,0.069208211,0.057917889,0.052199413,0.039442815,0.031378299,0.026246334,0.017155425,0.01202346,0.237390029,0.126979472,0.174780059,0.158357771,0.944721408,0.013929619,0.0271261,0.002785924,0.004692082,0.00601173,0.000439883,0.032258065,0.024926686,0.020967742,0.020967742,0.78404841,0.439393939,0.171710966,0.035414958
Mount Olive-Silverstone-Jamestown,2,4.6,32790,0.488411101,0.511283928,0.07853004,0.077310156,0.077920098,0.079902409,0.073193047,0.071210735,0.071820677,0.07715767,0.076242757,0.072278134,0.062519061,0.049100335,0.04147606,0.032174443,0.023635255,0.018450747,0.010369015,0.005184507,0.181000305,0.090118939,0.233760293,0.15294297,0.94967978,0.008386703,0.022872827,0.001829826,0.010673986,0.003507167,0.001524855,0.025007624,0.0105215,0.043305886,0.032784385,0.901630892,0.196969697,0.135807243,0.51851363
Thistletown-Beaumond Heights,3,3.4,10140,0.485207101,0.515285996,0.056706114,0.057199211,0.066074951,0.066568047,0.066568047,0.066568047,0.059171598,0.063116371,0.0734714,0.076923077,0.068047337,0.055719921,0.050788955,0.041420118,0.036489152,0.039940828,0.028599606,0.025641026,0.278599606,0.171597633,0.178994083,0.133136095,0.932445759,0.009368836,0.069526627,0.003451677,0.011341223,0.01035503,0.00147929,0.056213018,0.012820513,0.01183432,0.029585799,0.824155206,0.431818182,0.224011456,0.289607254
Rexdale-Kipling,4,2.5,10485,0.480209824,0.520267048,0.0472103,0.049594659,0.054363376,0.063423939,0.061993324,0.061516452,0.057224607,0.061516452,0.071053887,0.078683834,0.082498808,0.067715784,0.060085837,0.043395327,0.039580353,0.036719123,0.034334764,0.028612303,0.309489747,0.181688126,0.151645207,0.125417263,0.939914163,0.009060563,0.045302814,0.00286123,0.009060563,0.01382928,0.00286123,0.066762041,0.017167382,0.006676204,0.020505484,0.65676453,0.454545455,0.212143418,0.379173397
Elms-Old Rexdale,5,2.9,9550,0.483246073,0.516753927,0.070157068,0.07539267,0.07539267,0.07591623,0.068586387,0.059685864,0.062303665,0.062827225,0.078534031,0.07539267,0.07434555,0.057068063,0.04973822,0.036649215,0.027748691,0.02460733,0.015183246,0.010471204,0.220942408,0.115183246,0.220942408,0.144502618,0.962303665,0.009424084,0.053403141,0.005759162,0.029842932,0.008376963,0.003141361,0.070157068,0.020418848,0.006282723,0.014659686,0.695878091,0.234848485,0.12645829,0.315645683
Kingsview Village-The Westway,6,5.1,21725,0.47456847,0.52543153,0.069735328,0.067663982,0.068124281,0.067203682,0.066052934,0.063751438,0.059148446,0.065132336,0.06858458,0.075028769,0.065822785,0.056156502,0.050402762,0.038895282,0.035903337,0.03452244,0.027848101,0.020253165,0.263521289,0.156731876,0.20575374,0.134637514,0.959493671,0.014499425,0.060299194,0.008515535,0.021864212,0.014039125,0.006904488,0.044649022,0.011737629,0.009896433,0.059148446,0.86974379,0.424242424,0.158381664,0.383263189
Willowridge-Martingrove-Richview,7,5.5,21345,0.477395175,0.522136332,0.052002811,0.050128836,0.055985008,0.061841181,0.063480909,0.057858983,0.051768564,0.055750761,0.068400094,0.073553525,0.076598735,0.063480909,0.057156243,0.043335676,0.042632935,0.048020614,0.041930194,0.035605528,0.330756617,0.211056454,0.15999063,0.124619349,0.967673928,0.018271258,0.081752167,0.014991801,0.004919185,0.01733427,0.006090419,0.035605528,0.011712345,0.00679316,0.022721949,0.739380707,0.674242424,0.276697543,0.358791552
Humber Heights-Westmount,8,2.8,10580,0.448015123,0.551984877,0.046786389,0.046786389,0.04584121,0.058128544,0.050094518,0.049149338,0.052930057,0.055293006,0.063327032,0.075614367,0.070888469,0.061909263,0.056238185,0.043478261,0.047731569,0.052457467,0.053875236,0.070888469,0.38657845,0.269376181,0.138941399,0.108223062,0.919187146,0.006616257,0.103024575,0.008034026,0.004253308,0.029773157,0.018903592,0.038279773,0.003780718,0.00047259,0.005198488,0.812304095,0.696969697,0.265751042,0.351771264
Edenbridge-Humber Valley,9,5.5,14945,0.473402476,0.526262964,0.038139846,0.050518568,0.057209769,0.06022081,0.06423553,0.06122449,0.049849448,0.055202409,0.069923051,0.081967213,0.083640013,0.076279692,0.06390097,0.048176648,0.039478086,0.037805286,0.032452325,0.030110405,0.325861492,0.18534627,0.145868183,0.12445634,0.978253597,0.015055202,0.06022081,0.012713282,0.00267648,0.020742723,0.023753764,0.049849448,0.007025761,0.00033456,0.00100368,0.681695407,0.757575758,0.472270595,0.265153964
Princess-Rosethorn,10,5.2,11200,0.488392857,0.511607143,0.036160714,0.054464286,0.065625,0.084821429,0.071428571,0.038392857,0.033035714,0.041071429,0.06875,0.093303571,0.095535714,0.082589286,0.063392857,0.045089286,0.035267857,0.033035714,0.029910714,0.028571429,0.317857143,0.172321429,0.155803571,0.15625,0.979017857,0.029017857,0.041517857,0.021875,0.00625,0.012946429,0.009821429,0.009821429,0.005803571,0.001785714,0.003125,0.513971784,0.984848485,0.525486133,0.204109035
Eringate-Centennial-West Deane,11,8.6,18805,0.477798458,0.522999202,0.044137198,0.044934858,0.057697421,0.072852965,0.062749269,0.049986706,0.045466631,0.048923159,0.072055304,0.086944961,0.088274395,0.072321191,0.061419835,0.047061952,0.044668971,0.044668971,0.032704068,0.024727466,0.327838341,0.194097315,0.146503589,0.135336347,0.973677214,0.030576974,0.034033502,0.021005052,0.003190641,0.025525126,0.017282638,0.024993353,0.011699016,0.003456528,0.008242489,0.702976453,0.863636364,0.228780304,0.208077259
Markland Wood,12,2.9,10435,0.465740297,0.535218016,0.032103498,0.045519885,0.052228079,0.056540489,0.055103019,0.046957355,0.036895065,0.043603258,0.067081936,0.08241495,0.087206517,0.07954001,0.067081936,0.056540489,0.048873982,0.053186392,0.047436512,0.040249161,0.393866794,0.246765692,0.129851461,0.112122664,0.972208912,0.021562051,0.020124581,0.017249641,0.002395783,0.013895544,0.017249641,0.012458074,0.007666507,0.00143747,0.00143747,0.609025737,0.924242424,0.273297481,0.338927461
Etobicoke West Mall,13,1.7,10925,0.466819222,0.533638444,0.053546911,0.051716247,0.057665904,0.06590389,0.064530892,0.059496568,0.057208238,0.064073227,0.072768879,0.084210526,0.079633867,0.064073227,0.052173913,0.033867277,0.033867277,0.034782609,0.033409611,0.039816934,0.290160183,0.173913043,0.162471396,0.129519451,0.930892449,0.025171625,0.012814645,0.018764302,0.012356979,0.016475973,0.018306636,0.03798627,0.028832952,0.013729977,0.01784897,0.810112227,0.583333333,0.161391262,0.491286752
Islington-City Centre West,14,16.4,38070,0.473732598,0.52679275,0.050827423,0.041765169,0.04307854,0.052928815,0.060809036,0.077094825,0.081034936,0.074468085,0.072104019,0.079327555,0.073942737,0.066587864,0.053979511,0.040057788,0.034410297,0.032440242,0.031520883,0.033096927,0.292487523,0.172182821,0.135671132,0.11334384,0.956658786,0.027843446,0.029550827,0.034541634,0.006566851,0.02153927,0.020751248,0.02547938,0.018518519,0.005384817,0.009324928,0.764326586,0.712121212,0.26590355,0.223782788
Kingsway South,15,2.6,9175,0.471934605,0.528065395,0.050681199,0.06866485,0.069209809,0.057765668,0.052861035,0.033242507,0.037057221,0.055040872,0.08119891,0.086648501,0.079019074,0.075749319,0.067029973,0.049046322,0.038692098,0.03760218,0.028882834,0.033242507,0.328065395,0.184741144,0.18746594,0.110626703,0.988010899,0.010899183,0.023978202,0.007084469,0.004359673,0.010354223,0.00653951,0.010899183,0.00599455,0.000544959,0.000544959,0.214763443,1,0.509021223,0.333809019
Stonegate-Queensway,16,7.9,24690,0.483394087,0.516200891,0.056500608,0.050020251,0.051235318,0.052450385,0.048197651,0.051437829,0.063791009,0.075536655,0.080599433,0.088699878,0.085864723,0.072498987,0.061360875,0.038072094,0.033616849,0.030579182,0.025718915,0.033414338,0.295463751,0.161401377,0.157756177,0.099837991,0.971243418,0.013365735,0.030579182,0.005467801,0.002632645,0.022478736,0.025718915,0.018428514,0.010530579,0.001012556,0.001417578,0.625809746,0.75,0.373670964,0.30190773
Mimico,17,6.9,26550,0.486817326,0.513182674,0.048022599,0.032956685,0.030885122,0.036723164,0.051224105,0.078907721,0.096610169,0.088700565,0.077777778,0.088323917,0.084369115,0.074011299,0.064030132,0.048587571,0.03653484,0.025988701,0.020715631,0.015630885,0.285875706,0.148210923,0.111864407,0.088323917,0.966666667,0.028436911,0.025423729,0.008851224,0.005838041,0.022222222,0.027683616,0.029190207,0.017890772,0.001694915,0.001506591,0.622199999,0.606060606,0.232515667,0.356542539
New Toronto,18,3.5,10905,0.486015589,0.513525906,0.051811096,0.042182485,0.04172398,0.056396149,0.071068317,0.069234296,0.074277854,0.078862907,0.078404402,0.088491518,0.082072444,0.071526823,0.057313159,0.038514443,0.03301238,0.027510316,0.015589179,0.021549748,0.266850069,0.136176066,0.137093077,0.127005961,0.958734525,0.014213663,0.006877579,0.010545621,0.001834021,0.013296653,0.014672169,0.022008253,0.027051811,0.002751032,0.003209537,0.495720885,0.439393939,0.24921042,0.301099368
Long Branch,19,2.3,9630,0.492731049,0.507788162,0.049844237,0.043613707,0.044132918,0.049844237,0.067497404,0.065420561,0.068535826,0.075285566,0.078920042,0.09761163,0.09086189,0.075804777,0.065420561,0.040498442,0.029595016,0.020249221,0.01973001,0.016095535,0.26635514,0.125129803,0.13655244,0.118899273,0.968847352,0.011422638,0.010903427,0.002596054,0.003115265,0.016614746,0.018172378,0.028037383,0.023364486,0.001557632,0.003115265,0.478871371,0.477272727,0.248278607,0.37873184
Alderwood,20,5,11900,0.484453782,0.51512605,0.051260504,0.041596639,0.046638655,0.054621849,0.057563025,0.057142857,0.070168067,0.065546218,0.074789916,0.088655462,0.089915966,0.074369748,0.060084034,0.042016807,0.033193277,0.034033613,0.029831933,0.027310924,0.302521008,0.167226891,0.139495798,0.111344538,0.971848739,0.01512605,0.049579832,0.003361345,0.001680672,0.035714286,0.015966387,0.013445378,0.021848739,0.001260504,0.000840336,0.571423771,0.78030303,0.272693398,0.230338575
Humber Summit,21,7.9,12530,0.493216281,0.505985634,0.057462091,0.058260176,0.068236233,0.070231445,0.068635275,0.061851556,0.062250599,0.066241022,0.069034318,0.077414206,0.057063049,0.05027933,0.049481245,0.046288907,0.050678372,0.045889864,0.026336792,0.011572227,0.28292099,0.181165204,0.184756584,0.139265762,0.961292897,0.009976057,0.177174781,0.001197127,0.008379888,0.0103751,0.001197127,0.051875499,0.006783719,0.0103751,0.092577813,0.901199399,0.409090909,0.191652191,0.123724375
Humbermede,22,4.4,15850,0.485804416,0.514195584,0.070977918,0.064984227,0.06340694,0.069400631,0.07318612,0.070662461,0.072239748,0.069400631,0.075078864,0.076025237,0.068138801,0.052050473,0.047949527,0.032807571,0.033123028,0.027760252,0.019242902,0.013564669,0.226498423,0.126182965,0.200315457,0.142902208,0.948895899,0.017350158,0.080126183,0.007255521,0.002523659,0.007255521,0.001577287,0.1,0.020820189,0.014195584,0.065930599,0.861284587,0.257575758,0.170203733,0.339219101
Pelmo Park-Humberlea,23,4.2,8705,0.482481333,0.517518667,0.054566341,0.053991959,0.060884549,0.071223435,0.059161401,0.055140724,0.056863871,0.065479609,0.076392878,0.086157381,0.080413555,0.062033314,0.048248133,0.039632395,0.049971281,0.037334865,0.025272832,0.018380241,0.283170592,0.172889144,0.169442849,0.131533601,0.962665135,0.019529006,0.172889144,0.002871913,0.003446295,0.047099368,0.000574383,0.069500287,0.013785181,0.013210798,0.002871913,0.720881951,0.560606061,0.223147245,0.194010228
Black Creek,24,3.4,22060,0.465095195,0.53467815,0.081822303,0.077969175,0.071849501,0.075929284,0.077289211,0.073889393,0.063689937,0.063236627,0.071169538,0.06980961,0.064823209,0.049637353,0.041704442,0.034451496,0.030145059,0.023345422,0.015412511,0.012692656,0.207615594,0.116500453,0.23118767,0.153671804,0.950815956,0.033771532,0.047597461,0.001133273,0.004306437,0.00543971,0.004759746,0.0593835,0.014052584,0.032864914,0.008386219,0.793820871,0,0.127167289,0.493799518
Glenfield-Jane Heights,25,5.2,31395,0.469979296,0.529861443,0.067208154,0.068004459,0.072941551,0.077878643,0.067048893,0.065297022,0.059404364,0.060678452,0.06959707,0.07278229,0.069278548,0.052237617,0.047459787,0.038859691,0.037904125,0.035355948,0.024366937,0.01385571,0.249721293,0.150820194,0.209109731,0.144768275,0.958114349,0.046026437,0.110686415,0.001274088,0.006848224,0.011307533,0.002866699,0.1176939,0.01544832,0.01544832,0.003981526,0.835037302,0.128787879,0.164547419,0.474884847
Downsview-Roding-CFB,26,14.9,34650,0.481962482,0.518470418,0.064069264,0.054978355,0.055266955,0.059163059,0.063059163,0.071861472,0.076623377,0.068686869,0.074603175,0.080663781,0.073881674,0.058297258,0.047041847,0.037085137,0.036219336,0.034487734,0.025685426,0.017748918,0.257142857,0.151226551,0.174314574,0.122655123,0.96002886,0.021067821,0.145454545,0.002308802,0.005916306,0.024098124,0.005194805,0.1001443,0.045165945,0.005772006,0.003751804,0.801743108,0.234848485,0.216586158,0.224253359
York University Heights,27,13.2,27715,0.489987371,0.509651813,0.05935414,0.049972939,0.049792531,0.063142703,0.118347465,0.101569547,0.076492874,0.06494678,0.065668411,0.069998196,0.063142703,0.048168862,0.041493776,0.031390944,0.032112574,0.029767274,0.019664442,0.01425221,0.216850081,0.127909075,0.158939203,0.181850983,0.950387877,0.063142703,0.082265921,0.009561609,0.013350171,0.01028324,0.015515064,0.053220278,0.033555836,0.042395815,0.020927296,0.87897299,0.28030303,0.194351365,0.197410614
Rustic,28,2.1,9950,0.449748744,0.550753769,0.076884422,0.073366834,0.075376884,0.067336683,0.063819095,0.063316583,0.057788945,0.060301508,0.067336683,0.069849246,0.06080402,0.047236181,0.04120603,0.039698492,0.039698492,0.044723618,0.030150754,0.022110553,0.264321608,0.176884422,0.224623116,0.130653266,0.967336683,0.014070352,0.151758794,0.001005025,0.003015075,0.044221106,0.00201005,0.068341709,0.011055276,0.019095477,0.006532663,0.73859729,0.234848485,0.266857536,0.411217823
Maple Leaf,29,2.5,10195,0.484060814,0.515939186,0.05443845,0.048553212,0.055419323,0.054928887,0.056890633,0.062775871,0.065228053,0.065718489,0.078469838,0.078960275,0.071113291,0.053948014,0.049043649,0.043648847,0.048062776,0.049534085,0.0362923,0.025993134,0.304070623,0.201569397,0.160863168,0.111819519,0.942128494,0.00980873,0.225110348,0.001471309,0.001961746,0.047081903,0.003923492,0.066699362,0.039234919,0.010299166,0.006866111,0.838955576,0.454545455,0.292437228,0.371805071
Brookhaven-Amesbury,30,3.5,17785,0.467528816,0.532471184,0.073938712,0.062412145,0.063536688,0.069159404,0.068315997,0.076468934,0.070565083,0.06409896,0.073095305,0.079842564,0.075906663,0.056227158,0.043294911,0.030643801,0.028956986,0.025302221,0.020804048,0.017149283,0.222097273,0.123418611,0.199044138,0.138318808,0.953050323,0.026145628,0.068034861,0.001686815,0.003092494,0.05538375,0.002530222,0.088838909,0.026989036,0.014056789,0.006466123,0.769379744,0.196969697,0.190595992,0.429595708
Yorkdale-Glen Park,31,5.9,14685,0.459652707,0.540687777,0.043581886,0.046986721,0.055498808,0.056860742,0.057541709,0.060606061,0.060946544,0.05856316,0.071501532,0.073884917,0.070139598,0.057882193,0.052093973,0.041538985,0.046986721,0.051413006,0.046986721,0.047667688,0.345250255,0.234933606,0.145726932,0.115083418,0.931903303,0.043581886,0.200885257,0.003404835,0.004766769,0.055158325,0.005788219,0.042560436,0.041198502,0.008171604,0.004085802,0.833460865,0.515151515,0.227704636,0.24210071
Englemount-Lawrence,32,3.6,22080,0.438179348,0.562273551,0.075860507,0.069293478,0.070199275,0.067934783,0.059782609,0.059556159,0.066576087,0.06567029,0.0625,0.062047101,0.061820652,0.052536232,0.043251812,0.032382246,0.029664855,0.030117754,0.032382246,0.059103261,0.279438406,0.183423913,0.215806159,0.127717391,0.932065217,0.012907609,0.024682971,0.002943841,0.007019928,0.015172101,0.027173913,0.028532609,0.086050725,0.002038043,0.002038043,0.635219272,0.522727273,0.312527176,0.479021968
Clanton Park,33,4.2,14610,0.46201232,0.538329911,0.065023956,0.052019165,0.059548255,0.060232717,0.057152635,0.06091718,0.076317591,0.07871321,0.079055441,0.083504449,0.072210815,0.058863792,0.052703628,0.032854209,0.030800821,0.027378508,0.026694045,0.027378508,0.255304586,0.143737166,0.176249144,0.118069815,0.957221081,0.017111567,0.053045859,0.007871321,0.004106776,0.008213552,0.040041068,0.024982888,0.11670089,0.001711157,0.001026694,0.687169156,0.598484848,0.327505403,0.330039447
Bathurst Manor,34,4.8,15435,0.478134111,0.52154195,0.055069647,0.045999352,0.048590865,0.057337221,0.059928733,0.06478782,0.072562358,0.066731454,0.075801749,0.07904114,0.077097506,0.059928733,0.054421769,0.036605118,0.032717849,0.034985423,0.036281179,0.042436022,0.296080337,0.181729835,0.149983803,0.116942015,0.955944282,0.022027859,0.056365403,0.015549077,0.012957564,0.013605442,0.109815355,0.030774214,0.054421769,0.001943635,0.000971817,0.827693511,0.636363636,0.307653411,0.309391103
Westminster-Branson,35,3.7,25445,0.459815288,0.540577717,0.048929063,0.042444488,0.047553547,0.058950678,0.066221262,0.069365298,0.067400275,0.067596777,0.070740814,0.072902338,0.07742189,0.063863234,0.062094714,0.037335429,0.042247986,0.035173904,0.033994891,0.036352918,0.310670073,0.185105129,0.138534093,0.12438593,0.95303596,0.018864217,0.00432305,0.026724307,0.021811751,0.002161525,0.29219886,0.024759285,0.085085478,0.002751032,0.002947534,0.901888739,0.522727273,0.2013862,0.50908767
Newtonbrook West,36,4.7,23050,0.472451193,0.527765727,0.045336226,0.035574837,0.042950108,0.054446855,0.077006508,0.081995662,0.072017354,0.070715835,0.072234273,0.085249458,0.082863341,0.062906725,0.057266811,0.039479393,0.036442516,0.03318872,0.025813449,0.025813449,0.280043384,0.160520607,0.123644252,0.132104121,0.94967462,0.072017354,0.027982646,0.087418655,0.078958785,0.004121475,0.14143167,0.01670282,0.078741866,0.001952278,0.005422993,0.977469476,0.575757576,0.301483329,0.42027264
Willowdale West,37,2.9,15005,0.472175941,0.527824059,0.044651783,0.033655448,0.032989004,0.037654115,0.075974675,0.089636788,0.087304232,0.071976008,0.067310896,0.065311563,0.069643452,0.068643785,0.057314229,0.044985005,0.042652449,0.039986671,0.036321226,0.033655448,0.323892036,0.197934022,0.110963012,0.113295568,0.968677108,0.134621793,0.024325225,0.078307231,0.085304898,0.004998334,0.064978341,0.015661446,0.015661446,0.002665778,0.003332223,0.880649226,0.795454545,0.292710877,0.434345435
Lansing-Westgate,38,5.4,14640,0.474726776,0.525614754,0.057718579,0.049521858,0.050887978,0.054303279,0.065915301,0.080942623,0.088114754,0.079918033,0.080259563,0.078551913,0.070696721,0.058401639,0.051229508,0.035177596,0.027663934,0.024590164,0.022540984,0.024590164,0.243510929,0.133879781,0.157103825,0.119877049,0.975751366,0.067964481,0.011270492,0.039617486,0.043032787,0.006147541,0.052595628,0.021857923,0.031420765,0.00102459,0.00307377,0.676408683,0.734848485,0.349610942,0.264557592
Bedford Park-Nortown,39,5.5,23185,0.46236791,0.537847746,0.063187406,0.069872763,0.070304076,0.073107613,0.053482855,0.041621738,0.050894975,0.064050032,0.074617209,0.081518223,0.07785206,0.067716196,0.056502049,0.040112141,0.032348501,0.029544964,0.026957084,0.026957084,0.281863274,0.157429372,0.202932931,0.126374811,0.977140392,0.018546474,0.017683847,0.004744447,0.010567177,0.00388182,0.0129394,0.014448997,0.043562648,0.000215657,0.00064697,0.305525271,0.871212121,0.644124334,0.380513831
St.Andrew-Windfields,40,7.3,17955,0.479532164,0.520467836,0.038429407,0.049011417,0.064327485,0.082428293,0.071846282,0.053745475,0.043163464,0.052353105,0.079365079,0.091896408,0.082149819,0.074352548,0.065719855,0.049289891,0.036758563,0.025062657,0.023113339,0.015037594,0.289612921,0.149818992,0.152882206,0.154831523,0.973823448,0.145084935,0.009468115,0.044834308,0.048175996,0.003898635,0.01615149,0.018379282,0.01475912,0.004177109,0.004734057,0.707348321,0.856060606,0.737230975,0.238979831
Bridle Path-Sunnybrook-York Mills,41,8.8,8715,0.479632817,0.51979346,0.032702238,0.055077453,0.074010327,0.08777969,0.068273092,0.036144578,0.030981067,0.038439472,0.064830752,0.092943201,0.08777969,0.082042456,0.074010327,0.053930006,0.039013196,0.030407344,0.026965003,0.022948939,0.329317269,0.17383821,0.163511188,0.156052783,0.975903614,0.070567986,0.012621916,0.005737235,0.02983362,0.003442341,0.01491681,0.007458405,0.012621916,0.000573723,0,0.331396116,0.962121212,1,0
Banbury-Don Mills,42,10,26910,0.46395392,0.536231884,0.04384987,0.044778893,0.049238201,0.053511706,0.047565961,0.052768488,0.05574136,0.063359346,0.084541063,0.08565589,0.073206986,0.060758082,0.05982906,0.047565961,0.045522111,0.042363434,0.045150502,0.04589372,0.347082869,0.226495726,0.136937941,0.100520253,0.958008175,0.124674842,0.005202527,0.018952062,0.032515793,0.0040877,0.011334077,0.013377926,0.019137867,0.005388331,0.008175399,0.720735288,0.871212121,0.331865399,0.262601599
Victoria Village,43,4.7,17180,0.463329453,0.537252619,0.059953434,0.048603027,0.050640279,0.05355064,0.057043073,0.068102445,0.070430733,0.068393481,0.076251455,0.079161816,0.071012806,0.059953434,0.053259604,0.041909197,0.041909197,0.038125728,0.031140861,0.030849825,0.298894063,0.185972061,0.15919674,0.111175786,0.939464494,0.035215367,0.011641444,0.005820722,0.029685681,0.004947614,0.00523865,0.020372526,0.031431898,0.027066356,0.022409779,0.799509963,0.522727273,0.197452901,0.343059392
Flemingdon Park,44,2.5,22165,0.478908189,0.521317392,0.070155651,0.064064967,0.066771938,0.066095195,0.073088202,0.075569592,0.072862621,0.071960298,0.073539364,0.076923077,0.067674261,0.052334762,0.047597564,0.036995263,0.031355741,0.025039477,0.016692984,0.011053463,0.223099481,0.122264832,0.200992556,0.139183397,0.943604782,0.055718475,0.001353485,0.010602301,0.061357997,0.00270697,0.014662757,0.024813896,0.049627792,0.046469659,0.073764945,1,0.454545455,0.11038114,0.575823702
Parkwoods-Donalda,45,7.5,34620,0.473136915,0.526574235,0.058925477,0.055459272,0.06181398,0.067879838,0.068168689,0.06513576,0.067157712,0.070479492,0.07654535,0.084777585,0.075534373,0.058925477,0.048526863,0.03812825,0.032495667,0.029318313,0.024407857,0.016753322,0.248555748,0.140958983,0.176487579,0.136337377,0.963316002,0.06513576,0.008376661,0.015453495,0.033217793,0.004043905,0.014153668,0.031629116,0.027874061,0.013720393,0.017619873,0.751299234,0.53030303,0.299444482,0.404359555
